"Short name","Hour","HUAW_eRAN_R8_DL Traffic Volume MBytes","HUAW_eRAN_R8_UL Traffic Volume MBytes","L.Traffic.ActiveUser.DL.Max","L.Traffic.ActiveUser.DL.Avg"
1001_L_1_18F03,2016071218,54.178271,6.685942,3,0.023000
1001_L_1_18F03,2016071219,61.808047,5.283889,3,0.030000
1001_L_1_18F03,2016071220,49.102196,4.252997,2,0.023000
1001_L_1_18F03,2016071221,99.974379,7.583662,3,0.022000
1001_L_1_18F03,2016071222,60.792524,2.489110,2,0.012000
1001_L_1_18F03,2016071223,6.528404,1.229722,2,0.004000
1002_L_1_09F01,2016071100,32.782052,5.948524,3,0.009000
1002_L_1_09F01,2016071101,1.894816,1.256590,2,0.005000
1002_L_1_09F01,2016071102,6.417555,1.677451,2,0.002000
1002_L_1_09F01,2016071103,6.855825,0.899641,2,0.006000
1002_L_1_09F01,2016071104,3.022496,0.994397,2,0.007000
1002_L_1_09F01,2016071105,40.918642,5.135702,3,0.027000
1002_L_1_09F01,2016071106,86.498796,12.581123,5,0.055000
1002_L_1_09F01,2016071107,296.067286,21.737512,5,0.143000
1002_L_1_09F01,2016071108,211.999002,23.764786,5,0.089000
1002_L_1_09F01,2016071109,112.437396,18.983943,3,0.071000
1002_L_1_09F01,2016071110,154.800071,17.411576,4,0.082000
1002_L_1_09F01,2016071111,92.564349,16.393071,4,0.053000
1002_L_1_09F01,2016071112,170.491958,17.408489,4,0.081000
1002_L_1_09F01,2016071113,107.569696,13.328636,4,0.051000
1002_L_1_09F01,2016071114,109.585018,12.995680,4,0.047000
1002_L_1_09F01,2016071115,110.949241,16.313653,4,0.057000
1002_L_1_09F01,2016071116,269.622158,24.125883,7,0.095000
1002_L_1_09F01,2016071117,211.484634,37.450146,6,0.115000
1002_L_1_09F01,2016071118,227.633748,30.669601,6,0.105000
1002_L_1_09F01,2016071119,141.179292,23.030844,4,0.080000
1002_L_1_09F01,2016071120,115.347274,18.651177,3,0.059000
1002_L_1_09F01,2016071121,140.302225,13.499166,3,0.049000
1002_L_1_09F01,2016071122,69.656975,12.732587,3,0.056000
1002_L_1_09F01,2016071123,34.321426,6.945704,2,0.022000
1002_L_1_09F01,2016071200,16.516271,1.863283,2,0.009000
1002_L_1_09F01,2016071201,1.153453,0.974895,1,0.002000
1002_L_1_09F01,2016071202,0.675563,0.302301,2,0.001000
1002_L_1_09F01,2016071203,0.472613,0.199081,1,0.001000
1002_L_1_09F01,2016071204,1.733562,0.920350,2,0.003000
1002_L_1_09F01,2016071205,23.614347,2.317579,3,0.014000
1002_L_1_09F01,2016071206,86.829200,13.035477,4,0.036000
1002_L_1_09F01,2016071207,345.945705,32.043303,4,0.110000
1002_L_1_09F01,2016071208,180.845751,28.180310,5,0.098000
1002_L_1_09F01,2016071209,172.750691,22.471343,3,0.084000
1002_L_1_09F01,2016071210,86.894919,13.300561,4,0.044000
1002_L_1_09F01,2016071211,121.971060,20.786359,5,0.069000
1002_L_1_09F01,2016071212,134.326647,17.704133,4,0.062000
1002_L_1_09F01,2016071213,95.259459,71.802446,4,0.054000
1002_L_1_09F01,2016071214,164.293357,24.447531,4,0.066000
1002_L_1_09F01,2016071215,202.383437,18.409431,5,0.064000
1002_L_1_09F01,2016071216,96.811364,58.128454,4,0.064000
1002_L_1_09F01,2016071217,247.999072,28.547681,6,0.091000
1002_L_1_09F01,2016071218,173.184818,25.945054,5,0.073000
1002_L_1_09F01,2016071219,160.474780,63.581833,4,0.073000
1002_L_1_09F01,2016071220,98.397858,14.819824,3,0.042000
1002_L_1_09F01,2016071221,117.695644,44.578843,4,0.050000
1002_L_1_09F01,2016071222,88.984596,14.314335,4,0.049000
1002_L_1_09F01,2016071223,74.153059,8.720683,3,0.037000
1002_L_1_09F02,2016071100,31.124207,2.779088,2,0.015000
1002_L_1_09F02,2016071101,0.423811,0.082451,1,0.001000
1002_L_1_09F02,2016071102,15.848206,0.436437,1,0.005000
1002_L_1_09F02,2016071103,1.236644,0.066622,1,0.001000
1002_L_1_09F02,2016071104,0.504988,0.091855,1,0
1002_L_1_09F02,2016071105,1.472547,0.341621,2,0.008000
1002_L_1_09F02,2016071106,5.558373,1.078710,2,0.009000
1002_L_1_09F02,2016071107,17.742393,2.797734,3,0.023000
1002_L_1_09F02,2016071108,23.552869,7.298868,4,0.023000
1002_L_1_09F02,2016071109,16.921070,2.645323,4,0.024000
